system:index,id,latitude,longitude,longwave_radiation,pressure,shortwave_radiation,specific_humidity,temperature,time_convert,time,total_precipitation,wind_u,wind_v,windspeed,.geo
0,A20211001_0000,44.20721803,-122.1194501,362.76,92359.62,114.504,0.0088626,17.93003906,10/1/21 0:00,1.63E+12,0,1.73,-3,3.463076667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,A20211001_0100,44.20721803,-122.1194501,362.81,92384.62,51.908,0.0090038,16.75003906,10/1/21 1:00,1.63E+12,0,1.16,-2.75,2.984644032,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,A20211001_0200,44.20721803,-122.1194501,362.86,92409.52,0,0.0091452,15.56,10/1/21 2:00,1.63E+12,0,0.58,-2.51,2.576140524,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,A20211001_0300,44.20721803,-122.1194501,356.85,92434.32,0,0.0092874,14.38,10/1/21 3:00,1.63E+12,0,0,-2.26,2.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,A20211001_0400,44.20721803,-122.1194501,356.87,92456.54,0,0.0092201,13.91,10/1/21 4:00,1.63E+12,0,-0.04,-2.22,2.220360331,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,A20211001_0500,44.20721803,-122.1194501,356.9,92478.66,0,0.0091524,13.45,10/1/21 5:00,1.63E+12,0,-0.07,-2.19,2.191118436,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,A20211001_0600,44.20721803,-122.1194501,341.46,92501.52,0,0.0090851,12.98,10/1/21 6:00,1.63E+12,0,-0.11,-2.15,2.152812114,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,A20211001_0700,44.20721803,-122.1194501,341.48,92579.3,0,0.0089131,12.61003906,10/1/21 7:00,1.63E+12,0,-0.4,-2.15,2.186892773,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,A20211001_0800,44.20721803,-122.1194501,341.5,92656.44,0,0.0087412,12.25003906,10/1/21 8:00,1.63E+12,0,-0.7,-2.15,2.261083811,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,A20211001_0900,44.20721803,-122.1194501,309.52,92734.22,0,0.008569,11.88,10/1/21 9:00,1.63E+12,0,-0.99,-2.15,2.3669812,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,A20211001_1000,44.20721803,-122.1194501,309.55,92669.12,0,0.0082789,11.19,10/1/21 10:00,1.63E+12,0,-1.11,-2.51,2.74448538,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,A20211001_1100,44.20721803,-122.1194501,309.58,92604.76,0,0.0079887,10.51,10/1/21 11:00,1.63E+12,0,-1.23,-2.88,3.131660901,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,A20211001_1200,44.20721803,-122.1194501,269.81,92539.76,0,0.0076986,9.820039063,10/1/21 12:00,1.63E+12,0,-1.34,-3.25,3.515408938,"{""type"":""MultiPoint"",""coordinates"":[]}"
